Date,TYO,F,GM,HMC,STLA
2014-08-12,20.97,17.21,33.7,33.91,9.45
2014-08-13,20.8,17.42,33.95,34.34,9.64
2014-08-14,20.6543,17.43,33.95,34.1,9.77
2014-08-15,20.43,17.31,33.84,33.96,9.79
2014-08-18,20.5984,17.43,34.4,34.12,9.92
2014-08-19,20.63,17.36,34.57,34.08,9.58
2014-08-20,20.8182,17.41,34.53,34.09,9.58
2014-08-21,20.69,17.4,34.6,34.73,9.7
2014-08-22,20.7,17.17,34.24,34.35,9.62
2014-08-25,20.64,17.23,34.67,34.5,9.62
2014-08-26,20.73,17.19,34.85,34.28,9.85
2014-08-27,20.5,17.36,34.71,33.95,10.03
2014-08-28,20.39,17.42,34.68,34.07,9.85
2014-08-29,20.37,17.41,34.8,34.05,9.85
2014-09-02,20.72,17.6,34.8,33.77,9.85
2014-09-03,20.6801,17.47,34.47,33.96,9.99
2014-09-04,20.919,17.27,34.63,33.89,9.99
2014-09-05,20.8,17.14,34.58,33.85,9.97
2014-09-08,20.938,16.8,33.24,33.85,9.77
2014-09-09,21.08,16.63,33.07,33.69,9.96
2014-09-10,21.21,16.63,33.29,34.23,10.06
2014-09-11,21.31,16.66,33.61,34.4,10.34
2014-09-12,21.5328,16.59,33.27,34.5,10.2
2014-09-15,21.376,16.47,33.63,34.5,10.03
2014-09-16,21.35,16.52,33.71,34.13,10.18
2014-09-17,21.548,16.53,33.85,33.93,10.18
2014-09-18,21.552,16.58,34.03,34.53,10.18
2014-09-19,21.35,16.65,33.94,34.46,10.03
2014-09-22,21.232,16.36,33.44,34.59,10.05
2014-09-23,21.14,16.17,33.22,34.32,10.05
2014-09-24,21.1324,16.41,33.65,34.76,10.05
2014-09-25,20.9746,16.2,32.87,34.36,10.34
2014-09-26,21.0805,16.33,33.17,34.42,10.16
2014-09-29,20.84,15.11,32.22,34.04,10.02
2014-09-30,20.96,14.79,31.94,34.28,10.02
2014-10-01,20.45,14.59,32.49,33.79,10.02
2014-10-02,20.6284,14.56,33.18,32.0,9.4
2014-10-03,20.6884,14.59,33.76,32.48,9.35
2014-10-06,20.47,14.52,33.75,32.72,9.25
2014-10-07,20.1,14.1,31.77,32.59,9.25
2014-10-08,19.98,14.21,32.18,32.86,9.25
2014-10-09,19.98,13.84,31.03,32.15,8.92
2014-10-10,19.85,13.79,30.29,31.7,8.7
2014-10-13,19.5,13.54,29.79,31.39,8.92
2014-10-14,19.35,13.78,30.11,31.55,8.95
2014-10-15,19.23,13.62,29.69,31.25,8.76
2014-10-16,19.24,13.98,29.94,30.91,8.74
2014-10-17,19.35,14.02,30.24,31.13,9.1
2014-10-20,19.248,14.17,30.34,31.61,9.31
2014-10-21,19.39,14.26,30.84,31.55,9.45
2014-10-22,19.42,14.13,31.31,31.62,9.41
2014-10-23,19.6,14.4,30.93,31.62,9.63
2014-10-24,19.56,13.78,30.04,31.07,9.5
2014-10-27,19.46,13.82,30.08,30.82,9.24
2014-10-28,19.65,14.16,31.17,29.99,9.72
2014-10-29,19.85,13.91,30.72,30.69,10.85
